Category of Evil AI - maybe try to group by 5 decided categories - Shiv - 03/29/26,Reviewer Name,"Criminal AI (These are designed for harm) VS Controversial institutional AI (These are not designed to harm, but critics say they can cause harm or rights violations)",AI Tool Name,Category of Evil AI - maybe try to group by 5 decided categories,Tool Website URL - Could be a concern since some are solely on the dark web? (If applicable,Developer or Company - often unknown - adding an llc or inc or org name isn't helpful without developers or parent companies,Public Tagline or Claim - If applicable - may overlap with stated use case,Stated Use Case,Target Victim,Primary Output,Harm Category,"Gate 1 Met? = Intentionally designed, marketed, or deployed for harm (Y/N)","Gate 2 Met? = Harm is the product, not a side effect (Y/N)",Gate 3 Met? = Evidence strong enough for near universal consensus (Y/N),Exclusion 1 Triggered? = Accidental harm only (Y/N),Exclusion 2 Triggered? = Dual use with unclear intent (Y/N),"Exclusion 3 Triggered? = Grey zone only, not explicitly exploitative and documented (Y/N)",Include in Repo? = Y only if Gates 1 to 3 are Y and Exclusions 1 to 3 are N,1 Sentence Evidence Summary,"Evidence Links - Try to collect more than 1, more validation + credibility"
3A,Shivansh Sahni,Controversial institutional AI,BriefCam Video Analytics,Mass Video Surveillance AI,https://www.briefcam.com/,BriefCam,Video analytics software powered by artificial intelligence,"Rapidly search, summarize, and analyze surveillance video for security and law enforcement",People moving through camera-covered public or private spaces,"Searchable video events, alerts, and behavioral analytics",Mass Video Surveillance / Behavior Tracking,N,N,N,N,Y,N,N,"BriefCam markets AI video analytics for security and law enforcement, while courts and digital-rights groups have challenged some deployments as unlawful or excessively intrusive.",https://www.briefcam.com/ https://www.reviewofailaw.com/Tool/Evidenza/Single/view_html?id_evidenza=2649 https://disclose.ngo/en/article/the-french-national-police-is-unlawfully-using-an-israeli-facial-recognition-software
3A,Shivansh Sahni,Controversial institutional AI,Oosto OnWatch / AnyVision Facial Recognition,Facial Recognition Surveillance AI,https://oosto.com/products/watchlist-monitoring/,Oosto (formerly AnyVision),Real-Time Watchlist Alerting,Identify persons of interest in real time with live facial recognition,"Shoppers, employees, visitors, and bystanders in monitored spaces",Watchlist matches and real-time facial recognition alerts,Facial Recognition Surveillance / Person-of-Interest Tracking,N,N,N,N,Y,N,N,"Oosto markets live watchlist alerting and access control, while the company's earlier AnyVision deployments drew scrutiny over surveillance uses and facial recognition in sensitive contexts.",https://oosto.com/products/watchlist-monitoring/ https://www.reuters.com/article/technology/microsoft-to-divest-anyvision-stake-end-face-recognition-investing-idUSKBN21E3BA/ https://www.reuters.com/world/middle-east/exclusive-why-us-hospital-oil-company-turned-facial-recognition-2021-04-20/
3A,Shivansh Sahni,Controversial institutional AI,Facewatch Facial Recognition,Retail Facial Recognition Surveillance AI,https://www.facewatch.co.uk/,Facewatch Ltd.,Facial recognition security system to safeguard businesses against crime,Alert retail staff when a known offender enters a store,Shoppers and bystanders entering participating stores,Retail watchlist matches and in-store alerts,Retail Biometric Surveillance / Identity Tracking,N,N,N,N,Y,N,N,"Facewatch markets facial recognition to retailers as a crime-prevention tool, while privacy groups argue that scanning all shoppers is disproportionate and risks misidentification.",https://www.facewatch.co.uk/ https://www.reuters.com/world/uk/orwellian-facial-recognition-cameras-uk-stores-challenged-by-rights-group-2022-07-26/ https://news.sky.com/story/facewatch-the-controversial-tech-that-retailers-have-deployed-to-tackle-shoplifting-and-violence-13485082
1B,Shivansh Sahni,Criminal AI,Ainude.ai,Information and Perception Manipulation,No stable public website found; advertised on GitHub and dark-web forums,Gaofan Xu,“undress any photos” / “Undress any girl photo or image to AI nudes NOW”,Generate fake nude or sexualized images from clothed photos of real people without meaningful consent verification,"Women and girls depicted in uploaded images, including minors where safeguards fail",AI-generated nonconsensual nude images or sexualized variants,Synthetic Media Deception / Nonconsensual Intimate Imagery,Y,Y,Y,N,N,N,Y,San Francisco’s amended complaint identifies Ainude.ai as part of an undressing-site ecosystem that creates AI-generated nonconsensual intimate imagery and alleges knowing facilitation of that harm.,https://kernochan.law.columbia.edu/sites/kernochan.law.columbia.edu/files/content/2025%20Symposium/People%20v.%20Sol%20Ecom%20Inc%20%28Second%20Amended%20Complaint%29.pdf https://graphika.com/reports/a-revealing-picture https://sfcityattorney.org/city-attorney-shuts-down-10-websites-that-create-nonconsensual-deepfake-pornography/
4A,Shivansh Sahni,Criminal AI,KawaiiGPT,Cyber and Infrastructure Harm,No stable public website found; advertised on GitHub and dark-web forums,"Operator unknown; marketed via GitHub account ""ImMALWARE"" and underground channels",Marketed as a free malicious LLM for offensive tasks,"Generate phishing lures, ransomware notes, and attack scripts","Businesses, email targets, and organizations hit by cybercrime","Phishing text, malicious scripts, and ransomware-related content",Cybercrime enablement,Y,Y,Y,N,N,N,Y,"Unit 42 and follow-on reporting describe KawaiiGPT as a purpose-built malicious LLM marketed for phishing, ransomware notes, and offensive scripting.",https://unit42.paloaltonetworks.com/dilemma-of-ai-malicious-llms/ https://cyberscoop.com/malicious-llm-tools-cybercrime-wormgpt-kawaiigpt/
4A,Shivansh Sahni,Criminal AI,SpamGPT,Exploitation and Manipulation,No stable public website found; sold through underground channels,Unknown criminal operators,AI-powered phishing and spam toolkit,"Automate phishing emails, spam delivery, and SMTP abuse tactics","Email users, businesses, and mailbox providers","Phishing emails, spam templates, and mail-server abuse instructions",Phishing automation,Y,Y,Y,N,N,N,Y,Reporting describes SpamGPT as a purpose-built phishing toolkit that helps attackers generate scam email content and scale mass-mailing campaigns.,https://ia.acs.org.au/article/2025/spamgpt-turns-ai-into-phishing-playbook.html https://cyberpress.org/spamgpt-ai-powered-tool-fuels-massive-phishing-campaigns/
4A,Shivansh Sahni,Criminal AI,DIG AI,Cyber and Infrastructure Harm,No stable public website found; offered as a TOR/darknet service,Unknown darknet operators,Uncensored darknet AI assistant,"Generate malicious scripts, scam content, and other illicit material without safeguards",Downstream cybercrime targets and exploited individuals,"Malicious code, scam text, illicit instructions, and extremist content",Cybercrime and extremist enablement,Y,Y,Y,N,N,N,Y,Resecurity and follow-on reporting describe DIG AI as an uncensored darknet assistant explicitly marketed to criminals and terrorists for malicious outputs.,https://www.resecurity.com/blog/article/dig-ai-uncensored-darknet-ai-assistant-at-the-service-of-criminals-and-terrorists https://www.esecurityplanet.com/artificial-intelligence/dig-ai-a-dark-web-ai-powering-cybercrime-and-extremism/
2C,Shivansh Sahni,Criminal AI,Business Invoice Swapper,Exploitation and Manipulation,No stable public website found; sold by GXC Team on dark-web forums,"GXC Team / operator alias ""googleXcoder""",No public tagline found,Intercept invoice email threads and replace payment details for wire-fraud theft,"Accounts payable teams, vendors, and businesses",Tampered invoices and altered payment instructions,Business email compromise and wire fraud,Y,Y,Y,N,N,N,Y,Researchers reported that GXC Team sold Business Invoice Swapper specifically to hijack invoice threads and reroute payments to attacker-controlled accounts.,https://www.resecurity.com/blog/article/cybercriminals-implemented-artificial-intelligence-ai-for-invoice-fraud https://www.eftsure.com/en-au/blog/cyber-crime/warning-new-ai-scam-tool-can-swap-payment-details-en-masse/
2A,Shivansh Sahni,Criminal AI,LoveGPT,Exploitation and Manipulation,No stable public website found; deployed inside dating-app scam workflows,Unknown scam operators; documented by Avast researchers,No public tagline found,"Create fake dating profiles, send likes, and automate scam conversations on dating apps",Dating-app users,Fake profiles and AI-generated romance scam chats,Romance fraud,Y,Y,Y,N,N,N,Y,Multiple reports describe LoveGPT as a scam tool that automates fake profiles and persuasive chats across major dating platforms.,https://therecord.media/lovegpt-romance-scam-tool-uses-chatgpt https://www.mcafee.com/ai/news/could-chatgpt-cause-heartbreak-with-online-dating-scams-mcafee-ai-hub/
2A,Shivansh Sahni,Criminal AI,OnlyFake,Exploitation and Manipulation,No stable public website found; criminal site now defunct/seized,Operator charged by SDNY; service marketed anonymously online,Marketed as instant digital fake ID generation,Generate realistic fake IDs and documents for KYC bypass and identity fraud,"Financial institutions, crypto exchanges, and identity systems",AI-generated counterfeit identity documents,Identity fraud and KYC evasion,Y,Y,Y,N,N,N,Y,"DOJ and investigative reporting document OnlyFake as a commercial service that sold more than 10,000 realistic fake IDs for fraud use.",https://www.justice.gov/usao-sdny/pr/creator-onlyfake-charged-and-pleads-guilty-selling-more-10000-digital-fake https://www.404media.co/inside-the-underground-site-where-ai-neural-networks-churns-out-fake-ids-onlyfake/
4A,Shivansh Sahni,Criminal AI,DarkBERT,Cyber and Infrastructure Harm,No stable public website found; sold on dark-web forums,"Marketed by dark-web actor ""CanadianKingpin12""; operator unknown",Promoted as a dark-web AI for hacking and phishing tasks,"Generate malicious code, phishing pages, and cybercrime assistance","Internet users, organizations, and phishing targets","Malicious code, phishing content, and exploit-oriented text",Cybercrime enablement,Y,Y,Y,N,N,N,Y,"Security reporting identifies a dark-web tool sold as DarkBERT for malicious code, phishing pages, and underground cybercrime workflows.",https://outpost24.com/blog/dark-ai-tools/ https://www.darkreading.com/application-security/gpt-based-malware-trains-dark-web
4A,Shivansh Sahni,Criminal AI,DarkWizardAI,Exploitation and Manipulation,No stable public website found; marketed in underground fraud channels,Unknown underground operators,Pitched as a multilingual successor to FraudGPT,"Localize fraud, phishing, and scam content across multiple languages",Global scam targets across multiple markets,"Localized scam text, phishing messages, and fraud scripts",Fraud-at-scale enablement,Y,Y,Y,N,N,N,Y,Fraud researchers describe DarkWizardAI as an underground multilingual fraud assistant marketed as a successor to earlier criminal LLMs.,https://www.sardine.ai/blog/ai-scams https://medium.com/@adnanmasood/inside-the-dark-llm-economy-powering-modern-scams-661eda9036d6
4A,Shivansh Sahni,Criminal AI,FRUITSHELL,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Threat actor unknown,No public tagline found,Provide AI-assisted reverse-shell control and evade LLM-powered security tooling,Compromised hosts and breached organizations,Reverse-shell activity with AI-aware evasive behavior,Malware and post-compromise access,Y,Y,Y,N,N,N,Y,Google documented FRUITSHELL as malware using hard-coded prompts to bypass AI-driven security and support reverse-shell operations.,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use https://www.tomsguide.com/computing/malware-adware/google-warns-of-ai-infused-malware-thats-harder-to-detect-than-normal-viruses
4A,Shivansh Sahni,Criminal AI,PROMPTFLUX,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Threat actor unknown,No public tagline found,Rewrite and obfuscate its own code at runtime using Gemini API calls,Organizations hit by malware campaigns,Self-modifying dropper code and obfuscated persistence,Adaptive malware evasion,Y,Y,Y,N,N,N,Y,Google and follow-on coverage describe PROMPTFLUX as AI-enabled malware that queries Gemini to rewrite itself for evasion and persistence.,https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools https://thehackernews.com/2025/11/google-uncovers-promptflux-malware-that.html
4A,Shivansh Sahni,Criminal AI,QUIETVAULT,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Threat actor unknown,No public tagline found,"Use local or remote LLM tools to find secrets, wallets, and credentials for theft","Developers, crypto users, and compromised organizations",Credential theft and sensitive-file exfiltration,Infostealing and secret extraction,Y,Y,Y,N,N,N,Y,Google and SentinelOne describe QUIETVAULT as AI-enabled stealer malware that uses prompts to search victim systems and exfiltrate valuable data.,https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools https://www.sentinelone.com/labs/llms-ransomware-an-operational-accelerator-not-a-revolution/
4A,Shivansh Sahni,Criminal AI,HONESTCUE,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Threat actor unknown,No public tagline found,Generate second-stage downloader and launcher code through Gemini API calls,Compromised systems and organizations,Dynamically generated malware staging code,Malware staging and execution,Y,Y,Y,N,N,N,Y,GTIG reported HONESTCUE as new AI-integrated malware that uses Gemini to generate code for follow-on compromise stages.,https://cloud.google.com/blog/products/identity-security/cloud-ciso-perspectives-new-ai-threats-report-distillation-experimentation-integration https://www.scworld.com/brief/google-gemini-weaponized-in-state-sponsored-attacks
2A,Shivansh Sahni,Criminal AI,COINBAIT,Exploitation and Manipulation,No stable public website found; phishing infrastructure rotates across domains,Threat cluster UNC5356 / operators unknown,No public tagline found,Impersonate a cryptocurrency exchange to harvest credentials and wallet access,Crypto users and exchange customers,AI-generated phishing pages and credential theft flows,Crypto phishing and account theft,Y,Y,Y,N,N,N,Y,GTIG linked COINBAIT to an AI-generated phishing kit built with Lovable AI and used to impersonate a crypto exchange for credential harvesting.,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use https://simplysecuregroup.com/google-reports-state-backed-hackers-using-gemini-ai-for-recon-and-attack-support/
4A,Shivansh Sahni,Criminal AI,LAMEHUG,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Attributed by defenders to APT28 with moderate confidence,No public tagline found,Use a cloud LLM to generate malicious commands during runtime,Government and defense-sector targets,Runtime-generated malicious commands and data-exfiltration actions,LLM-powered malware execution,Y,Y,Y,N,N,N,Y,Multiple security firms describe LAMEHUG as a malware family that offloads command generation to a remote LLM during execution.,https://www.picussecurity.com/resource/blog/lamehug-the-first-publicly-documented-case-of-a-malware-integrating-a-llm https://www.catonetworks.com/blog/cato-ctrl-threat-research-analyzing-lamehug/
4A,Shivansh Sahni,Criminal AI,MalTerminal,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Operators unknown; sample analyzed by SentinelLABS,No public tagline found,Query GPT-4 during runtime to generate ransomware and reverse-shell logic,Compromised hosts and ransomware victims,AI-generated ransomware payloads and reverse-shell code,Ransomware acceleration,Y,Y,Y,N,N,N,Y,SentinelOne and follow-on reporting describe MalTerminal as GPT-4-powered malware capable of generating malicious logic in real time.,https://www.sentinelone.com/labs/prompts-as-code-embedded-keys-the-hunt-for-llm-enabled-malware/ https://thehackernews.com/2025/09/researchers-uncover-gpt-4-powered.html
4A,Shivansh Sahni,Criminal AI,PromptLock,Cyber and Infrastructure Harm,No public product site; malware/ransomware sample identified by defenders,Threat actor unknown,No public tagline found,Generate malicious Lua scripts at runtime to support cross-platform ransomware behavior,Windows and Linux systems,"Ransomware logic, reconnaissance, exfiltration, and encryption scripts",AI-assisted ransomware,Y,Y,Y,N,N,N,Y,Google and SentinelOne reporting identify PromptLock as AI-enabled ransomware that dynamically generates parts of its malicious workflow.,https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools https://www.sentinelone.com/labs/prompts-as-code-embedded-keys-the-hunt-for-llm-enabled-malware/
1A,Shivansh Sahni,Criminal AI,Meliorator,Information and Perception Manipulation,No public product site; covert software used across fake social-media personas,RT affiliates / Russian state-linked operators,AI-enhanced software for foreign malign influence,Create fictitious personas and operate a bot farm to spread disinformation,Social-media users and democratic publics,"Fake personas, coordinated posts, and influence narratives",State-backed propaganda and influence operations,Y,Y,Y,N,N,N,Y,A joint cyber advisory and DOJ action describe Meliorator as covert AI-enhanced software used to generate fake personas and spread Russian disinformation.,https://www.ic3.gov/CSA/2024/240709.pdf https://www.justice.gov/archives/opa/pr/justice-department-leads-efforts-among-federal-international-and-private-sector-partners
1A,Shivansh Sahni,Criminal AI,Pravda Network,Information and Perception Manipulation,No single stable public website; distributed network of propaganda sites,Russian influence operators linked to John Mark Dougan ecosystem,No public tagline found,Flood the web with propaganda content to influence readers and contaminate AI outputs,"News consumers, model users, and downstream information systems",High-volume propaganda articles and AI-visible web content,Propaganda laundering and model poisoning,Y,Y,Y,N,N,N,Y,NewsGuard reported that the Pravda network published propaganda at industrial scale and poisoned leading AI chatbots with repeated false narratives.,https://www.newsguardtech.com/press/russias-pravda-disinformation-network-is-poisoning-western-ai-models/ https://www.newsguardtech.com/special-reports/moscow-based-global-news-network-infected-western-artificial-intelligence-russian-propaganda
1A,Shivansh Sahni,Criminal AI,Restmedia,Information and Perception Manipulation,No single stable public website; network of social accounts and cloned sites,Researchers linked the operation to pro-Kremlin influence actors,No public tagline found,Push AI-assisted propaganda targeting Moldovan politics and public opinion,Moldovan voters and online audiences,"AI-generated political content, fake reports, and social posts",Election disinformation,Y,Y,Y,N,N,N,Y,AP and CyberScoop reported that REST Media spread AI-driven disinformation in Moldova and was treated by researchers as a Russian cutout operation.,https://apnews.com/article/moldova-election-europe-disinformation-russia-461e9a1c9558ae140c5b7539a5c89fd4 https://cyberscoop.com/researchers-say-media-outlet-targeting-moldova-is-russian-cutout/
1A,Shivansh Sahni,Criminal AI,Doppelganger,Information and Perception Manipulation,No single stable public website; operates through spoofed domains and fake outlets,Russian state-linked influence actors,No public tagline found,Use AI-generated content and fake websites to impersonate trusted media outlets,"General public, voters, and news consumers","Spoofed articles, fake websites, and AI-generated propaganda content",Large-scale disinformation,Y,Y,Y,N,N,N,Y,DOJ and Cyber Command describe Doppelganger as a Russian disinformation campaign that used generative AI and spoofed domains to mimic trusted outlets.,https://www.justice.gov/archives/opa/pr/justice-department-disrupts-covert-russian-government-sponsored-foreign-malign-influence https://www.cybercom.mil/Media/News/Article/3895345/russian-disinformation-campaign-doppelgnger-unmasked-a-web-of-deception/
1A,Shivansh Sahni,Criminal AI,Operation Overload / Matryoshka,Information and Perception Manipulation,"No single stable public website; campaign spans fake media, audio, and social accounts",Russia-aligned influence operators,No public tagline found,Impersonate media and fact-checkers with AI-generated content to overwhelm verification systems,"Researchers, journalists, fact-checkers, and the public","Fake media assets, AI-generated audio, and manipulated narratives",Disinformation amplification,Y,Y,Y,N,N,N,Y,Recorded Future and ISD describe Operation Overload as a Russia-aligned campaign using fake news resources and AI-generated audio to manipulate public opinion.,https://www.recordedfuture.com/research/operation-overload-impersonates-media-influence-2024-us-election https://www.isdglobal.org/digital-dispatch/stolen-voices-russia-aligned-operation-manipulates-audio-and-images-to-impersonate-experts/
1A,Shivansh Sahni,Criminal AI,Storm-1516,Information and Perception Manipulation,"No public product site; influence operation uses fake sites, personas, and videos",Russian propagandist group tracked by Microsoft,No public tagline found,Seed AI-enhanced fake stories and videos into public discourse,"Voters, news audiences, and democratic institutions","AI-enhanced fake videos, fabricated personas, and laundered narratives",Election and geopolitical disinformation,Y,Y,Y,N,N,N,Y,"Microsoft reported that Storm-1516 used AI-enhanced deepfakes, fake personas, and multilingual disinformation to target elections and public opinion.",https://blogs.microsoft.com/on-the-issues/2024/04/17/russia-us-election-interference-deepfakes-ai/ https://blogs.microsoft.com/on-the-issues/2024/10/23/as-the-u-s-election-nears-russia-iran-and-china-step-up-influence-efforts/
4C,Shivansh Sahni,Criminal AI,Habsora / The Gospel,Surveillance and Control,No public product site,Israel Defense Forces / Unit 8200 reporting references,No public tagline found,Generate and prioritize strike targets at high speed,People and structures selected for military targeting,Target recommendations and bombing target lists,AI-assisted lethal targeting,Y,Y,Y,N,N,N,Y,"Investigations reported that Habsora, or The Gospel, was used to rapidly generate bombing targets, raising concerns about civilian harm and scale of strikes.",https://www.theguardian.com/world/2023/dec/01/the-gospel-how-israel-uses-ai-to-select-bombing-targets https://www.hrw.org/news/2024/09/10/questions-and-answers-israeli-militarys-use-digital-tools-gaza
4C,Shivansh Sahni,Criminal AI,Lavender,Surveillance and Control,No public product site,Israel Defense Forces / Unit 8200 reporting references,No public tagline found,Score and identify large numbers of people as assassination targets,People flagged by the targeting system and surrounding civilians,Target lists and risk-scored human profiles,AI-assisted lethal targeting,Y,Y,Y,N,N,N,Y,Investigative reporting described Lavender as an AI-powered target database used to identify tens of thousands of people for strikes with limited human review.,https://www.972mag.com/lavender-ai-israeli-army-gaza/ https://www.theguardian.com/world/2024/apr/03/israel-gaza-ai-database-hamas-airstrikes
4C,Shivansh Sahni,Criminal AI,Where's Daddy?,Surveillance and Control,No public product site,Israel Defense Forces reporting references,No public tagline found,Track when flagged targets return home so strikes can be timed there,"Tracked targets, family members, and neighbors",Location tracking and strike-timing alerts,AI-assisted lethal targeting and home surveillance,Y,Y,Y,N,N,N,Y,Reporting states that Where's Daddy? was used to track suspected militants to their homes so attacks could be timed when they were present.,https://www.972mag.com/israel-gaza-lavender-ai-human-agency/ https://justvision.org/press/israels-wheres-daddy-ai-system-helps-target-suspected-hamas-militants-when-theyre-home-their
